timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:37:55.936,Msg1_PRACH,27694,2769,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.967,Msg1_PRACH,27854,2785,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.997,Msg1_PRACH,28014,2801,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.067,Msg1_PRACH,28174,2817,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.097,Msg1_PRACH,28334,2833,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.128,Msg1_PRACH,28494,2849,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.197,Msg1_PRACH,28654,2865,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.228,Msg1_PRACH,28814,2881,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.258,Msg1_PRACH,28974,2897,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.328,Msg1_PRACH,29134,2913,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.358,Msg1_PRACH,29294,2929,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.388,Msg1_PRACH,29454,2945,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.458,Msg1_PRACH,29614,2961,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.488,Msg1_PRACH,29774,2977,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.519,Msg1_PRACH,29934,2993,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.589,Msg1_PRACH,30094,3009,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.619,Msg1_PRACH,30254,3025,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.650,Msg1_PRACH,30414,3041,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.719,Msg1_PRACH,30574,3057,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.749,Msg1_PRACH,30734,3073,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.780,Msg1_PRACH,30894,3089,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.849,Msg1_PRACH,31054,3105,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.880,Msg1_PRACH,31214,3121,4,0x0039,0,40.0,0,transmitted
